"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	3.24662995446414	0.92	0.905	0	"TTR"
0	1.5265802544136	0.917	0.852	0	"APOE"
0	1.3600076482487	0.909	0.78	0	"PCP4"
0	1.32766262238416	0.983	0.914	0	"IFITM3"
0	1.18713512295949	1	0.973	0	"CLU"
0	1.12398819414996	0.805	0.791	0	"RSPO3"
0	1.07143179106066	0.695	0.689	0	"IGFBP7"
0	1.01504238447685	0.824	0.805	0	"IGFBP5"
0	0.988583686797044	0.896	0.877	0	"PTGDS"
0	0.918954332834756	0.69	0.73	0	"TRH"
0	0.879984611237611	0.828	0.56	0	"ANXA2"
0	0.878330997992405	0.885	0.607	0	"CNTNAP2"
0	0.857828736925268	0.882	0.848	0	"ID3"
0	0.818186919236812	0.955	0.892	0	"SPARCL1"
0	0.816359828069722	0.959	0.837	0	"PLTP"
0	0.795187448844712	0.967	0.87	0	"SPARC"
0	0.7680871717216	0.853	0.769	0	"WLS"
0	0.763344746158199	0.816	0.742	0	"RSPO2"
4.44659081257122e-323	0.749413300844524	0.971	0.913	1.33397724377137e-319	"MGST1"
0	0.734527467145969	0.795	0.778	0	"TPBG"
0	0.709340216408217	0.898	0.849	0	"NQO1"
0	0.70452611232689	0.923	0.759	0	"ITM2C"
5.32363030530195e-311	0.701693503136067	0.898	0.837	1.59708909159058e-307	"HES1"
3.61469134551447e-220	0.694762679147758	0.955	0.89	1.08440740365434e-216	"NEAT1"
0	0.687590900424032	0.92	0.74	0	"TIMP1"
3.78472377954559e-279	0.68395095143743	0.949	0.903	1.13541713386368e-275	"MT3"
9.497526147078e-119	0.676515216996623	0.953	0.913	2.8492578441234e-115	"MT2A"
6.97378556451287e-172	0.671070302706468	0.89	0.829	2.09213566935386e-168	"CRYAB"
2.06682562038842e-273	0.650307183736089	0.994	0.935	6.20047686116526e-270	"ITM2B"
3.26102557759634e-260	0.641432751974741	0.853	0.822	9.78307673278901e-257	"ID1"
0	0.639855058134551	0.899	0.829	0	"FAM107A"
1.25179107748848e-299	0.62351268975087	0.781	0.705	3.75537323246545e-296	"LGALS1"
0	0.6200330406396	0.829	0.765	0	"IFITM2"
0	0.616257564203751	0.792	0.734	0	"S100A10"
5.32942099306798e-232	0.615894185962597	0.994	0.94	1.59882629792039e-228	"CD63"
2.4537905021609e-240	0.612546614172919	0.904	0.764	7.3613715064827e-237	"NPC2"
2.54606027720879e-297	0.60665344729994	0.934	0.805	7.63818083162638e-294	"CYSTM1"
1.21115430027628e-80	0.606206709810631	0.994	0.993	3.63346290082884e-77	"PTN"
7.19881434984683e-313	0.60497864889977	0.963	0.862	2.15964430495405e-309	"LY6H"
0	0.603620504453295	0.507	0.471	0	"SERPINF1"
0	0.597756991776375	0.86	0.833	0	"CD9"
8.59027997093379e-209	0.594082021819306	0.981	0.906	2.57708399128014e-205	"B2M"
8.05273888953394e-185	0.585327216444849	0.99	0.955	2.41582166686018e-181	"MDK"
1.51350468156053e-129	-0.585128776453252	0.647	0.83	4.5405140446816e-126	"ELAVL2"
8.4773188183763e-85	-0.609104657074581	0.729	0.828	2.54319564551289e-81	"MIAT"
5.04724669101241e-70	-0.630978255937793	0.868	0.935	1.51417400730372e-66	"NREP"
9.13006933147022e-97	-0.638697857076852	0.734	0.82	2.73902079944107e-93	"INA"
2.55083363885701e-80	-0.644756616211161	0.831	0.847	7.65250091657104e-77	"GNG3"
1.1449956616607e-83	-0.692123468075485	0.819	0.822	3.43498698498209e-80	"HMP19"
1.61290546737647e-96	-0.759561993217844	0.744	0.809	4.83871640212942e-93	"DCX"
6.41669117215593e-108	-0.766904966573285	0.855	0.934	1.92500735164678e-104	"SOX11"
1.02307785724213e-64	-0.804632179861361	0.754	0.826	3.06923357172639e-61	"RTN1"
7.4170651055072e-88	-0.808902444878207	0.884	0.92	2.22511953165216e-84	"STMN4"
1.62977868578416e-75	-0.861947959784146	0.872	0.885	4.88933605735249e-72	"HES6"
6.86996150686705e-155	-0.886861971594868	0.712	0.864	2.06098845206011e-151	"TMSB15A"
9.97762904847823e-145	-0.890124430124905	0.976	0.987	2.99328871454347e-141	"STMN1"
2.74444488857813e-140	-0.923551818621107	0.864	0.929	8.2333346657344e-137	"TAGLN3"
1.19279099795027e-135	-0.965701391358534	0.748	0.846	3.5783729938508e-132	"CD24"
3.02508083307097e-132	-1.07983441024206	0.968	0.986	9.07524249921291e-129	"SOX4"
1.57453691949706e-83	-1.10793778244233	0.764	0.821	4.72361075849117e-80	"CRABP1"
2.27687379034325e-182	-1.12704778481145	0.898	0.959	6.83062137102974e-179	"MLLT11"
2.61454168887727e-139	-1.82114661778402	0.903	0.93	7.8436250666318e-136	"STMN2"
