"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	1.57725449869171	0.896	0.813	0	"CRABP1"
0	1.24401431177523	0.982	0.922	0	"TAGLN3"
0	1.17216502254781	0.991	0.924	0	"STMN2"
0	1.08850728631635	0.873	0.756	0	"KLHL35"
0	1.05373552354849	0.854	0.784	0	"NHLH1"
0	0.98825994778361	0.966	0.946	0	"NFIB"
0	0.968890112478347	0.998	0.984	0	"SOX4"
0	0.955631547813049	0.89	0.834	0	"TFAP2B"
0	0.949369697634822	0.809	0.797	0	"ROBO3"
0	0.861220391638521	0.952	0.929	0	"SOX11"
0	0.846930863482433	0.818	0.766	0	"CNTN2"
0	0.843694168149199	0.995	0.953	0	"MLLT11"
0	0.819516698064951	0.965	0.833	0	"CD24"
0	0.815636768912932	0.78	0.641	0	"RGMB"
0	0.804150266352682	0.947	0.918	0	"TCF4"
0	0.802615646175578	0.915	0.817	0	"MIAT"
0	0.779068630865525	0.852	0.857	0	"GAD2"
0	0.719489566927208	0.841	0.727	0	"THSD7A"
0	0.682566888446181	0.877	0.818	0	"HMP19"
0	0.664832210051055	0.885	0.838	0	"TFAP2A"
0	0.662888461581002	0.876	0.819	0	"ELAVL2"
0	0.635066378130321	0.751	0.677	0	"LHX5-AS1"
0	0.634224386668312	0.869	0.854	0	"RND3"
1.50910391737406e-274	0.622855192073027	0.703	0.526	4.52731175212217e-271	"NEFM"
0	0.622740949908863	0.993	0.986	0	"STMN1"
0	0.612305334380438	0.953	0.874	0	"BASP1"
0	0.590021887818831	0.792	0.687	0	"ELAVL4"
0	0.589700112068765	0.886	0.8	0	"DCX"
0	0.589543520776052	0.998	0.992	0	"TUBB"
0	0.587788013392154	1	1	0	"TMSB4X"
4.54452302891918e-138	-0.589933639840161	0.971	0.988	1.36335690867575e-134	"C1orf61"
1.66552740198428e-254	-0.591472369102476	0.779	0.91	4.99658220595284e-251	"SOX2"
4.55722465255751e-224	-0.592684577511424	0.797	0.909	1.36716739576725e-220	"EDNRB"
2.05982624036994e-301	-0.594018161612532	0.673	0.839	6.17947872110983e-298	"ZFP36L1"
2.92784631253987e-86	-0.595498426909114	0.663	0.747	8.7835389376196e-83	"KIAA0101"
2.4458820122733e-257	-0.620523728998732	0.763	0.845	7.3376460368199e-254	"HES1"
1.96051218338949e-217	-0.621024818299967	0.803	0.917	5.88153655016847e-214	"B2M"
4.57824786514351e-216	-0.626352837731894	0.916	0.978	1.37347435954305e-212	"GPM6B"
8.03278409907233e-266	-0.630307785106451	0.8	0.902	2.4098352297217e-262	"SPARCL1"
2.70735459238194e-316	-0.633138386019437	0.801	0.921	8.12206377714582e-313	"NTRK2"
1.76243614796717e-21	-0.688963298622136	0.846	0.91	5.2873084439015e-18	"TTR"
1.77134368688542e-125	-0.693970049662342	0.718	0.826	5.31403106065625e-122	"HMGB2"
0	-0.698993237337166	0.802	0.924	0	"MGST1"
0	-0.708838669670637	0.769	0.882	0	"SPARC"
2.30556599453518e-283	-0.717381445241854	0.825	0.924	6.91669798360555e-280	"IFITM3"
3.62435703301244e-308	-0.721367809347071	0.82	0.922	1.08730710990373e-304	"MT2A"
8.01198936302844e-284	-0.738999795203767	0.857	0.958	2.40359680890853e-280	"HSPB1"
1.26155278055905e-149	-0.740417383448453	1	1	3.78465834167714e-146	"FTL"
2.09854420259295e-302	-0.840353132830955	0.809	0.92	6.29563260777884e-299	"HES4"
6.69390691261185e-264	-0.902279231422457	0.928	0.978	2.00817207378356e-260	"CLU"
0	-1.03316853830316	0.813	0.929	0	"TTYH1"
0	-1.18437327374435	0.982	0.994	0	"PTN"
0	-1.51246477773298	0.947	0.99	0	"VIM"
