"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	0.592020355194495	0.878	0.843	0	"GNG3"
1.85871151011323e-284	0.585679832917155	0.928	0.917	5.5761345303397e-281	"STMN4"
4.70011814955141e-195	-0.619192756724798	0.915	0.946	1.41003544486542e-191	"FABP7"
9.20264290324837e-316	-0.620172019259321	0.869	0.92	2.76079287097451e-312	"MGST1"
1.38709094845288e-245	-0.62245420067454	0.864	0.917	4.16127284535863e-242	"HES4"
6.58636541037571e-265	-0.665850968818807	0.88	0.92	1.97590962311271e-261	"IFITM3"
0.0473393418637131	-0.695380728200546	0.9	0.906	1	"TTR"
0	-0.841534769619046	0.866	0.926	0	"TTYH1"
0	-0.874109339297063	0.988	0.994	0	"PTN"
0	-1.00216930147258	0.968	0.988	0	"VIM"
