"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	1.75076326593997	0.692	0.877	0	"NPY"
0	1.42048621925412	0.919	0.916	0	"IFITM3"
0	1.37770249111754	0.998	0.993	0	"PTN"
0	1.25682422833516	0.894	0.865	0	"GSN"
0	1.00863119217298	0.84	0.864	0	"CXCR4"
0	0.949372610768031	0.86	0.826	0	"ZFP36L1"
0	0.898250107096741	0.929	0.912	0	"HES4"
0	0.889153503221631	0.667	0.771	0	"IFITM2"
0	0.849388437934266	0.656	0.848	0	"GDF10"
0	0.846956584201938	0.624	0.847	0	"ATP1A2"
0	0.777566413014275	0.884	0.913	0	"PEA15"
8.56271863258978e-269	0.771691716388237	0.932	0.92	2.56881558977693e-265	"TTYH1"
8.84359740899923e-256	0.721403046144662	0.986	0.986	2.65307922269977e-252	"C1orf61"
0	0.703592396042733	0.845	0.867	0	"PSAT1"
0	0.691497109975372	0.526	0.621	0	"SFRP2"
0	0.687531537994886	0.7	0.889	0	"HES5"
3.29067289667319e-242	0.68620689595815	0.982	0.973	9.87201869001958e-239	"GPM6B"
0	0.631696477101525	0.691	0.872	0	"LY6H"
1.95155950635562e-224	0.63083457135106	0.946	0.957	5.85467851906686e-221	"MDK"
0	0.630833998802872	0.556	0.799	0	"MYLK"
0	0.610253906433643	0.584	0.83	0	"MASP1"
1.09135168208841e-293	0.606198104385351	0.792	0.876	3.27405504626522e-290	"SPARC"
1.08541927143804e-307	0.602873860492963	0.764	0.882	3.25625781431411e-304	"TPM1"
3.46266968801916e-311	0.598055204565218	0.791	0.92	1.03880090640575e-307	"MGST1"
0	0.591253611484605	0.668	0.806	0	"RFX4"
4.79380807506289e-216	0.586348401783926	0.824	0.945	1.43814242251887e-212	"CTNNB1"
8.25091786333304e-306	-0.594872346767806	0.342	0.835	2.47527535899991e-302	"INA"
4.64910073352156e-223	-0.594901082112961	0.609	0.916	1.39473022005647e-219	"TTR"
4.04639477673153e-306	-0.648402156623558	0.343	0.84	1.21391843301946e-302	"HMP19"
1.01835738730793e-281	-0.653790425656852	0.403	0.863	3.0550721619238e-278	"GNG3"
2.55107310492086e-200	-0.703336264934458	0.634	0.939	7.65321931476257e-197	"GAP43"
5.39845346003716e-249	-0.756042321831922	0.496	0.899	1.61953603801115e-245	"HES6"
1.23172983052206e-156	-0.786788529636692	0.751	0.964	3.69518949156618e-153	"MLLT11"
8.17978942531467e-231	-0.811697645681548	0.415	0.838	2.4539368275944e-227	"RTN1"
1.04509439690727e-70	-0.82067749668185	0.926	0.987	3.1352831907218e-67	"SOX4"
3.60681211788925e-184	-1.10787009570188	0.47	0.831	1.08204363536677e-180	"CRABP1"
5.75031059714176e-274	-1.71410941215203	0.599	0.941	1.72509317914253e-270	"STMN2"
