"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
4.7816675517398e-223	-0.59040159716472	0.874	0.835	1.43450026552194e-219	"TFAP2B"
4.57455081730065e-130	-0.605539240872727	0.953	0.924	1.37236524519019e-126	"TAGLN3"
1.11117946999135e-146	-0.626616080035088	0.796	0.808	3.33353840997404e-143	"DCX"
8.46395888663201e-167	-0.638697243149044	0.953	0.934	2.5391876659896e-163	"PCSK1N"
3.01111766705057e-216	-0.641144277479049	0.982	0.971	9.03335300115171e-213	"UCHL1"
1.25637844421663e-144	-0.651053029248546	0.992	0.986	3.76913533264988e-141	"STMN1"
5.62341275407082e-242	-0.678643183389139	0.863	0.845	1.68702382622124e-238	"GNG3"
6.66453842488594e-277	-0.68653370771979	0.906	0.814	1.99936152746578e-273	"HMP19"
3.38286923772403e-174	-0.712737618200725	0.945	0.915	1.01486077131721e-170	"STMN4"
2.4912097297001e-89	-0.741737324503927	0.988	0.985	7.4736291891003e-86	"SOX4"
2.78646507599357e-63	-0.765180985670317	0.961	0.9	8.35939522798071e-60	"TTR"
3.92803059109503e-198	-0.809196130142203	0.82	0.844	1.17840917732851e-194	"CD24"
8.06463953423743e-291	-0.850008679343638	0.957	0.925	2.41939186027123e-287	"GAP43"
7.48990676954262e-295	-0.873438170264826	0.908	0.815	2.24697203086279e-291	"RTN1"
4.85906119489329e-241	-0.881087546077285	0.967	0.955	1.45771835846799e-237	"MLLT11"
0	-1.73863887064863	0.95	0.927	0	"STMN2"
