"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	0.951268716975636	1	1	0	"FTL"
0	0.881114633314024	1	1	0	"FTH1"
0	0.759275708462286	0.99	0.885	0	"SQSTM1"
0	0.747609273489752	0.978	0.849	0	"DDIT3"
0	0.707740766039659	1	0.986	0	"VIM"
0	0.639361940305527	0.982	0.911	0	"MT2A"
0	0.632119856615261	0.955	0.801	0	"CYSTM1"
0	0.623650205737393	0.873	0.728	0	"TRIB3"
0	0.619574991206442	0.981	0.904	0	"B2M"
0	0.596690375153075	0.999	0.973	0	"CLU"
0	0.591505497759401	0.998	0.972	0	"GPM6B"
0	0.586715631638995	0.964	0.891	0	"SPARCL1"
7.26255160040474e-84	-0.590092650463855	0.991	0.982	2.17876548012142e-80	"HMGB1"
5.82458931984103e-122	-0.601324800145009	0.811	0.84	1.74737679595231e-118	"TFAP2B"
2.20026618701152e-169	-0.623695029912102	0.994	0.992	6.60079856103456e-166	"MT-ATP6"
1.09685783173871e-85	-0.624662017944412	0.93	0.931	3.29057349521614e-82	"SOX11"
5.27137984985343e-94	-0.629273610324735	0.861	0.881	1.58141395495603e-90	"BASP1"
9.11918492992271e-166	-0.642110483424566	0.998	0.997	2.73575547897681e-162	"MT-CO1"
7.90495714305261e-147	-0.647555257923806	0.74	0.822	2.37148714291578e-143	"INA"
1.41022719116511e-95	-0.655351519427186	0.933	0.936	4.23068157349533e-92	"PCSK1N"
1.02249221354742e-120	-0.659633849226593	0.994	0.992	3.06747664064227e-117	"TUBB"
4.47669556791785e-168	-0.660145680437502	0.997	0.997	1.34300867037535e-164	"MT-ND4"
0.000966192028293973	-0.664077699418958	0.928	0.904	1	"TTR"
1.8125114055772e-229	-0.678508553452832	0.993	0.993	5.4375342167316e-226	"MT-ND3"
4.54499302577038e-187	-0.694724953442316	0.994	0.991	1.36349790773111e-183	"MT-CYB"
1.50075995662318e-78	-0.715952891806818	0.908	0.883	4.50227986986955e-75	"HES6"
8.23729045799828e-205	-0.716832990320513	0.994	0.991	2.47118713739949e-201	"MT-CO3"
3.6898356123028e-138	-0.727004673782203	0.821	0.822	1.10695068369084e-134	"HMP19"
2.06886355922733e-226	-0.731708065477131	0.999	0.997	6.206590677682e-223	"MT-CO2"
1.38549320992645e-157	-0.76331603839535	0.9	0.934	4.15647962977935e-154	"NREP"
1.68899472941503e-129	-0.768197595038016	0.911	0.91	5.06698418824508e-126	"NNAT"
5.9155067798548e-158	-0.788762779672953	0.759	0.809	1.77465203395644e-154	"DCX"
6.42606068165252e-153	-0.822036726391154	0.904	0.928	1.92781820449575e-149	"TAGLN3"
1.60863997050644e-111	-0.851288641261232	0.961	0.956	4.82591991151931e-108	"MLLT11"
1.00054178352268e-245	-0.911617028020386	0.772	0.864	3.00162535056804e-242	"TMSB15A"
9.54972271937803e-154	-0.943994501047805	0.814	0.824	2.86491681581341e-150	"RTN1"
5.46863160524635e-177	-0.981916173663751	0.753	0.848	1.64058948157391e-173	"CD24"
1.23633936207417e-253	-1.01098135490983	0.986	0.987	3.70901808622251e-250	"STMN1"
9.69301655535118e-232	-1.1614066109195	0.986	0.985	2.90790496660536e-228	"SOX4"
1.21684026796303e-152	-1.20988211930135	0.721	0.824	3.65052080388909e-149	"CRABP1"
4.57744733693754e-228	-1.89144413367697	0.903	0.93	1.37323420108126e-224	"STMN2"
